Li,B,C,Mg,Al,Si,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Y,Zr,Nb,Mo,Sn,Hf,Ta,W,Phases,HV,Delta,Gamma,Enthalpy of Mixing,Electronegativity,VEC,Configurational Entropy,Weighted Melting Temperature,Yang Parameter,Asymmetry,e/a
0,0,0,0,0.179487179,0,0,0,0,0.205128205,0,0.205128205,0.205128205,0.205128205,0,0,0,0,0,0,0,0,0,0,FCC + BCC,,5.560415375,1.169761771,-11.65548978,0.119022978,7.307692302,13.37038155,1430.313845,1.640758322,0.334677229,1.393589742
0,0,0,0,0.179487179,0,0,0,0,0.205128205,0,0.205128205,0.205128205,0.205128205,0,0,0,0,0,0,0,0,0,0,BCC,538,5.560415375,1.169761771,-11.65548978,0.119022978,7.307692302,13.37038155,1430.313845,1.640758322,0.334677229,1.393589742
0,0,0,0,0.179487179,0,0,0,0,0.205128205,0,0.205128205,0.205128205,0.205128205,0,0,0,0,0,0,0,0,0,0,FCC + BCC,361,5.560415375,1.169761771,-11.65548978,0.119022978,7.307692302,13.37038155,1430.313845,1.640758322,0.334677229,1.393589742
0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,BCC,484,5.777889559,1.169542311,-12.32,0.120565335,7.2,13.38161136,1411.064,1.532655037,0.351110831,1.434
0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,FCC + BCC,433,5.777889559,1.169542311,-12.32,0.120565335,7.2,13.38161136,1411.064,1.532655037,0.351110831,1.434
0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,BCC,395,5.777889559,1.169542311,-12.32,0.120565335,7.2,13.38161136,1411.064,1.532655037,0.351110831,1.434
0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,BCC,,5.777889559,1.169542311,-12.32,0.120565335,7.2,13.38161136,1411.064,1.532655037,0.351110831,1.434
0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,BCC,,5.777889559,1.169542311,-12.32,0.120565335,7.2,13.38161136,1411.064,1.532655037,0.351110831,1.434
0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,BCC,,5.777889559,1.169542311,-12.32,0.120565335,7.2,13.38161136,1411.064,1.532655037,0.351110831,1.434
0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,BCC,,5.777889559,1.169542311,-12.32,0.120565335,7.2,13.38161136,1411.064,1.532655037,0.351110831,1.434
0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,BCC,,5.777889559,1.169542311,-12.32,0.120565335,7.2,13.38161136,1411.064,1.532655037,0.351110831,1.434
0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,BCC,,5.777889559,1.169542311,-12.32,0.120565335,7.2,13.38161136,1411.064,1.532655037,0.351110831,1.434
0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,BCC,520,5.777889559,1.169542311,-12.32,0.120565335,7.2,13.38161136,1411.064,1.532655037,0.351110831,1.434
